Crop year,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
April group,,"40,795","42,530","46,868","40,167","39,990","29,396","44,298","39,476","50,892","60,964","44,389","43,821","61,378","41,168","53,794","48,116","63,836","52,917","68,552","61,568","71,811","64,395","75,896","74,494","69,873","71,332","75,508","70,324","81,708","76,076"
Angola,(R/A),50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,45,35,42,52
Bolivia (Plurinational State of),(A),123,104,120,51,117,142,125,141,138,158,148,94,127,103,155,110,146,116,120,128,117,132,105,120,100,84,78,84,83,81
Brazil,(A/R),"27,286","27,293","34,603","28,167","28,192","18,060","29,197","26,148","36,761","47,578","31,310","31,365","48,352","28,873","39,281","32,933","48,432","38,911","51,491","43,977","55,428","48,592","55,418","54,689","53,305","52,871","56,788","52,740","65,131","58,211"
Burundi,(A/R),487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,269,196,202,204,272
Ecuador,(A/R),"1,504","2,124","1,185","2,069","2,376","1,888","1,993","1,191","1,206","1,198",854,793,582,641,780,935,"1,035",950,771,813,854,825,828,666,644,644,645,624,496,559
Indonesia,(R/A),"7,441","8,493","5,569","6,743","5,368","4,573","8,221","7,621","7,296","6,557","6,987","6,833","6,731","6,404","7,536","9,159","7,483","7,777","9,612","11,380","9,129","6,889","13,070","12,901","10,946","12,585","11,541","10,852","9,618","11,433"
Madagascar,(R),982,933,"1,122",442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,414,453,404,379,383
Malawi,(A),105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,25,21,20,14,13,16
Papua New Guinea,(A/R),963,747,900,"1,019","1,139","1,002","1,089","1,074","1,352","1,387","1,041","1,063","1,085","1,155",998,"1,268",807,968,"1,028","1,038",867,"1,414",716,835,798,712,"1,171",734,930,752
Paraguay,0,131,80,54,67,25,26,31,49,32,19,22,22,36,47,38,44,35,39,20,20,20,20,20,20,20,20,20,20,20,20
Peru,(A),937,"1,200","1,762",665,"1,179","1,871","1,806","1,930","2,102","2,744","2,676","2,829","3,000","2,686","3,425","2,489","4,319","3,063","3,872","3,286","4,069","5,373","4,450","4,106","2,883","3,304","4,223","4,279","4,263","3,836"
Rwanda,(A),535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,293,231,264,380,348
Timor-Leste,(A),0,0,0,0,0,0,0,0,0,0,7,33,37,42,17,24,46,36,48,47,60,47,61,80,111,59,82,65,139,103
Zimbabwe,(A),252,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,24,21,10,9,7,9,15,14,15,7,10,9
July group,,"3,618","2,927","3,161","2,979","3,049","3,469","3,014","3,274","2,687","2,860","2,445","2,064","2,269","1,956","2,267","2,108","2,176","2,254","2,948","2,232","1,887","1,775","2,263","1,888","1,793","1,986","1,933","1,876","2,324","2,129"
Congo,(R),3,3,3,3,8,12,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cuba,(A),414,302,284,285,284,285,366,300,280,328,312,285,239,224,180,100,105,110,133,92,108,100,88,107,101,100,103,113,128,130
Dominican Republic,(A/R),880,321,638,604,730,886,519,941,487,607,467,387,455,351,491,310,387,465,645,352,378,491,488,425,397,400,412,412,431,402
Haiti,(A),393,463,500,451,450,514,428,432,439,399,420,403,374,374,365,356,362,359,359,351,350,349,350,345,343,341,342,342,347,347
Philippines,(R/A),974,"1,018",920,875,877,850,890,935,677,622,341,263,255,293,355,432,441,446,587,730,189,180,177,186,193,208,215,203,206,307
Tanzania,(A/R),932,790,786,734,679,897,764,624,739,842,809,624,824,612,763,804,822,810,"1,186",675,846,641,"1,151",811,753,930,846,783,"1,175",926
Zambia,(A),23,29,29,27,21,26,33,38,62,59,93,100,119,100,110,103,56,61,35,28,13,11,5,11,3,4,13,19,34,15
October group,,"48,817","55,811","48,495","48,615","50,274","54,456","55,996","57,137","55,287","67,559","66,912","62,017","58,978","62,379","60,016","60,945","69,389","66,672","63,299","64,073","66,379","75,157","73,024","77,529","78,635","82,809","84,879","91,492","88,429","86,848"
Cameroon,(R/A),"1,682","1,726",260,683,406,660,"1,432",889,"1,114","1,370","1,113",686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,292,370,310,268
Central African Republic,(R),175,125,134,166,250,108,208,114,215,241,113,68,92,43,29,23,114,43,60,112,78,91,23,90,63,100,37,60,37,55
Colombia,(A),"14,396","17,980","14,947","11,422","12,964","12,938","10,779","12,122","10,868","9,512","10,519","11,950","11,712","11,053","11,429","11,952","12,164","12,515","8,664","8,098","8,523","7,653","9,927","12,124","13,333","14,009","14,634","13,824","13,866","14,100"
Costa Rica,(A),"2,562","2,760","2,998","2,359","2,482","2,844","2,222","2,617","2,445","2,485","2,419","2,247","2,043","1,886","1,876","1,653","1,706","1,797","1,500","1,477","1,614","1,831","1,823","1,552","1,475","1,440","1,372","1,561","1,427","1,472"
Cï¿½te d'Ivoire,(R),"2,940","4,129","2,246","2,293","3,006","2,532","4,859","4,164","1,992","6,320","4,846","3,596","3,010","2,981","2,136","2,099","2,848","1,338","2,526","1,989",837,"2,216","1,994","2,598","1,728","1,289","1,117","1,624","2,175","1,929"
Democratic Republic of Congo,(R/A),"1,580","1,230","1,180",980,"1,298","1,098",795,811,738,477,363,423,338,451,360,336,378,416,422,346,305,357,334,347,335,371,279,382,397,391
El Salvador,(A),"2,465","2,198","3,001","2,378","2,293","2,585","2,534","2,175","2,055","2,598","1,704","1,694","1,361","1,380","1,197","1,319","1,234","1,505","1,450","1,075","1,873","1,164","1,240",515,665,565,610,760,761,661
Equatorial Guinea,(R),4,3,2,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,(A),"2,909","2,925","1,825","2,967","2,763","3,165","3,407","3,057","2,928","3,784","3,115","4,044","4,094","4,394","5,213","4,779","5,551","5,967","4,949","6,830","5,560","5,650","6,132","6,242","6,383","6,515","7,143","7,347","7,511","7,343"
Gabon,(R),3,2,3,3,8,2,1,3,4,2,0,1,1,0,0,1,1,1,2,0,2,1,1,0,1,1,1,0,1,1
Ghana,(R),38,76,37,45,57,57,32,27,54,89,76,7,34,18,18,12,20,35,26,19,69,30,21,25,35,36,26,13,15,14
Guatemala,(A/R),"3,271","3,497","4,318","3,536","3,787","4,002","4,525","4,219","4,893","5,120","4,940","3,669","4,070","3,610","3,703","3,676","3,950","4,100","3,785","3,835","3,950","3,850","3,763","3,189","3,310","3,410","3,684","3,734","4,007","3,606"
Guinea,(R),44,91,76,64,198,104,148,172,421,364,400,236,328,366,316,525,473,323,505,499,386,386,234,101,165,286,270,229,153,178
Guyana,(R),0,0,0,0,0,0,0,0,6,5,3,5,5,5,6,7,8,9,10,9,9,10,10,13,9,11,10,10,10,10
Honduras,(A),"1,568","2,322","1,918","1,829","2,181","1,909","2,004","2,564","2,195","2,985","2,667","3,036","2,496","2,968","2,575","3,204","3,461","3,640","3,450","3,603","4,331","5,882","4,686","4,583","5,268","5,786","7,457","7,560","7,153","5,931"
India,(R/A),"2,829","3,000","2,823","3,533","3,002","4,012","3,417","4,109","4,417","4,867","5,020","4,810","4,588","4,708","4,591","4,566","4,500","4,367","4,072","4,827","5,600","5,334","5,403","5,075","5,450","5,830","6,161","5,813","5,325","4,988"
Jamaica,(A),23,39,26,34,45,43,54,47,29,38,37,31,37,37,21,34,40,20,32,25,21,24,24,20,21,20,18,19,18,23
Kenya,(A),"1,485","1,514","1,316","1,328","1,663","1,664","1,247",882,"1,173","1,502","1,002",991,945,673,736,660,826,652,541,630,641,757,875,843,770,799,793,790,930,844
Lao People's Democratic Republic,(R),0,0,0,0,0,0,0,0,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,544,552,535,510,533,647,622
Liberia,(R),3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,10,12,16,6,6
Mexico,(A/R),"4,674","4,727","3,401","5,023","4,159","5,300","5,110","4,802","4,801","6,219","4,815","4,438","4,351","4,201","3,867","4,225","4,200","4,150","4,651","4,109","4,001","4,561","4,327","3,916","3,636","2,772","3,635","4,485","4,351","3,985"
Nepal,(A),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,3,2,1,1,2,2,1,2,1,1
Nicaragua,(A),461,707,547,706,683,985,793,"1,084","1,073","1,554","1,572","1,079","1,170","1,509","1,068","1,432","1,428","1,906","1,445","1,871","1,638","2,193","1,873","2,060","1,898","2,130","2,555","2,642","2,879","2,882"
Nigeria,(R),29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,41,43,42,42,42
Panama,(A),215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,120,105,128,114
Sierra Leone,(R),43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,38,38,45,40
Sri Lanka,(R/A),96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,37,37,36,36
Thailand,(R/A),757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,845,762,538,638,482,517
Togo,(R),161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,23,115,54,41
Trinidad & Tobago,(R),15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12,13,12
Uganda,(R/A),"1,955","2,088","2,185","3,142","2,393","3,244","3,419","3,440","3,386","2,862","3,401","3,158","2,890","2,599","2,613","2,175","2,894","3,490","3,335","2,894","3,267","3,115","3,914","3,633","3,744","3,650","4,962","4,597","4,704","5,509"
Venezuela,(A),"1,122",941,"1,215","1,333",989,"1,467","1,206",951,"1,597","1,367","1,450","1,265","1,484","1,421","1,327","1,506","1,571","1,520",932,"1,214","1,202",902,952,804,650,500,525,572,578,650
Viet Nam,(R/A),"1,310","1,438","2,340","3,020","3,632","3,970","5,752","6,979","7,052","11,631","14,841","13,093","11,574","15,337","14,370","13,842","19,340","16,405","18,438","17,825","20,000","26,500","23,402","27,610","27,241","31,090","27,819","33,432","30,283","30,487"
Yemen,(A),0,0,0,0,0,0,0,0,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,178,156,143,132,86,91
Total,,"93,230","101,267","98,524","91,761","93,314","87,321","103,308","99,887","108,866","131,383","113,746","107,902","122,625","105,503","116,078","111,169","135,400","121,842","134,800","127,873","140,078","141,327","151,184","153,910","150,302","156,126","162,320","163,693","172,461","165,053"